State,Agency type,Agency name,Race,Religion,Sexual orientation,Ethnicity,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Alabama,Cities,Florence,2,0,0,0,0,0,0,0,1,0,1,"39,481"
Alabama,Cities,Hoover,0,0,1,0,0,0,0,0,1,0,0,"84,139"
Alabama,Cities,Prattville,2,0,0,0,0,0,0,1,0,1,0,"35,154"
Alabama,Cities,Tuscaloosa,1,0,0,0,0,0,0,0,0,1,0,"94,126"
Alaska,Cities,Anchorage,8,0,0,0,0,0,0,2,3,3,0,"299,455"
Arizona,Cities,Apache Junction,1,0,0,0,0,0,0,1,0,0,,"36,626"
Arizona,Cities,Avondale,4,0,0,1,0,0,0,1,1,3,0,"78,905"
Arizona,Cities,Eagar,0,0,0,1,0,0,0,0,1,0,0,"5,034"
Arizona,Cities,El Mirage,1,0,0,0,0,0,0,0,0,1,0,"32,837"
Arizona,Cities,Gilbert,1,0,0,0,0,0,0,1,0,0,0,"225,232"
Arizona,Cities,Glendale,2,3,1,1,0,0,0,2,0,3,2,"234,006"
Arizona,Cities,Goodyear,0,0,2,0,0,0,0,1,,1,0,"71,048"
Arizona,Cities,Maricopa,1,0,0,0,0,0,0,0,0,0,1,"44,871"
Arizona,Cities,Mesa,1,1,0,0,0,0,0,2,0,0,0,"456,155"
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139"
Arizona,Cities,Prescott,0,0,0,1,0,0,0,0,0,0,1,"40,752"
Arizona,Cities,Scottsdale,0,1,0,1,0,0,0,0,0,0,2,"225,523"
Arizona,Cities,Tempe,1,0,2,0,0,0,0,2,0,1,0,"168,501"
Arizona,Cities,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486"
Arizona,Cities,Yuma,3,4,0,3,0,0,0,3,5,0,2,"96,014"
Arizona,Universities and Colleges,Northern Arizona University,0,0,1,0,0,0,0,0,0,0,1,"25,991"
Arizona,Universities and Colleges,University of Arizona,2,0,0,0,0,0,0,2,0,0,0,"40,223"
Arizona,Metropolitan Counties,Cochise,0,1,0,0,0,0,0,0,0,0,1,
Arizona,Metropolitan Counties,Maricopa,1,1,0,0,0,0,0,0,,,2,
Arizona,Metropolitan Counties,Pima,1,1,1,0,0,0,0,0,0,0,3,
